"placedVMs","cpuUsed","cpuTotal","ramUsedMB","ramTotalMB","netUsedMBps","netTotalMBps","diskUsedMB","diskTotalMB"
"12","300053","24470","4021149","1517970","74031","18387","81537","26669"
"9","204652","13798","4130583","1358659","59908","18942","72844","27161"
"14","235624","22998","4551099","1220525","74444","25283","70691","19306"
"15","359667","29845","6307207","1259379","125282","21378","111789","18364"
"13","292054","27016","5903266","1460971","89436","14695","91884","20407"
"13","282249","21997","5588525","1215466","98538","30753","69000","24036"
"13","309358","28403","3805126","1264640","71202","13647","88731","18660"
"8","102049","8906","2996843","1271437","71712","23649","49535","22071"
"12","222187","17507","4313501","1425328","98406","15877","82750","28743"
"12","245211","19871","2971914","580575","66073","19860","74000","18581"
"8","202290","15307","3761734","1388331","72220","11926","41235","19807"
"13","317921","29203","5590733","951184","61993","22431","105635","24210"
"12","200787","16752","5774378","1236613","77400","25215","98575","29211"
"16","442133","34442","7296413","1345418","115596","30978","168124","27003"
"12","337240","24868","7450745","1199087","118553","20942","125571","23428"
"11","251508","21489","4893515","1061733","72427","26636","77492","23371"
"10","163076","13186","4691766","1403982","100995","31659","83747","13126"
"9","178959","18755","3913342","1107964","53115","15936","57136","15501"
"11","199471","14112","4850583","1464344","95477","15284","92684","20335"
"10","179332","19352","3039881","887974","31359","22957","44211","18763"
"13","312044","26757","4723818","1274632","79038","23472","76077","26651"
"12","175519","18481","3157402","1212947","90863","18075","88250","23488"
"11","269438","22853","3487910","1709433","58705","25081","81321","22481"
"11","260206","17029","6781304","904275","103990","14638","102300","17623"
"13","181421","23323","5140847","1227271","52662","16624","83052","25223"
"12","300945","22489","3700757","687057","97080","24893","82253","23696"
"6","132255","11073","3791035","1406548","40418","25520","32496","24359"
"9","200662","15263","4005530","1641206","49061","25500","85902","22527"
"13","224505","21580","4935082","840569","68281","25941","72991","27421"
"17","305459","28455","6606134","1157164","92923","10948","113206","23182"
"13","200320","23871","3012659","1170703","60267","30144","55779","29777"
"12","261168","21168","4500537","1439237","84291","24233","90815","16578"
"15","290549","23474","5578105","652627","130743","24040","131961","19176"
"12","210361","17486","4725850","799520","95155","18057","87912","18216"
"11","173071","17883","2761678","1274699","71525","27908","88546","18042"
"14","206394","20106","4520897","1601459","75716","29974","95934","18501"
"15","239643","20165","6455326","1239432","75933","23013","101667","22411"
"15","235505","17772","6836449","1063983","111932","20719","115651","19067"
"14","291501","24247","6318426","1067078","62853","16001","105881","29533"
"12","195774","18584","3635321","1473292","75700","30118","78610","27615"
"13","230713","19480","4884981","956322","91491","17887","98584","31036"
"8","155085","14217","3155444","637209","55322","26844","78911","18664"
"14","324545","27066","5367570","1085090","83956","20444","92141","28639"
"13","283547","23173","6357411","921190","89416","25420","108955","20703"
"7","137283","13893","3396617","1302449","70107","16851","54027","21356"
"12","223270","19123","4219474","1284885","87443","17717","100143","22175"
"14","371467","25403","5487374","1590647","107374","14428","101917","30132"
"10","296289","18423","5870040","802364","65560","22352","75360","18771"
"12","257868","24022","2549141","1092228","93239","23239","68930","18879"
"14","276316","24874","6905734","932917","89415","15245","108185","20451"
"15","273425","26777","7058844","1113290","108563","22455","114702","11880"
"13","297949","24816","3578383","1425481","97454","17727","75949","25694"
"14","208436","19632","6779301","937814","129097","23274","84898","23477"
"10","208547","18629","1915614","867658","63383","15467","74204","15372"
"13","315551","26176","6359752","1272147","90485","32210","68671","10005"
"13","265795","20718","5635741","794378","84770","20595","108431","18758"
"14","348259","24169","6831405","1018551","155943","33611","83395","17978"
"15","330085","23053","6409240","1071117","117083","13319","97179","25081"
"9","148653","15601","3655311","852895","49778","29218","49466","18381"
"14","297201","25361","5354442","698779","98219","21386","95960","27093"
"9","245423","15790","4542372","649439","82752","28596","80811","24127"
"14","349236","28030","5239127","1163159","122964","19681","96799","24114"
"9","147495","15107","2884014","1091726","35513","19261","48793","25548"
"14","307112","27821","4129453","1388006","101918","25345","69141","18986"
"13","386084","29931","6110882","1440594","81666","26336","98349","25934"
"9","233681","20429","4976752","1126725","92811","25677","83422","16407"
"15","304923","26368","5863150","1110293","95144","20564","93628","27023"
"13","275402","23036","6024613","955671","71197","24211","93285","21097"
"13","252064","22365","2832481","1055707","83183","18504","80398","12433"
"13","247337","21857","5993728","1368045","94161","22243","75199","16219"
"14","310816","25752","5154557","1421688","100039","25740","101299","21982"
"15","331652","28822","6854105","1227417","91524","23173","118183","19567"
"13","416156","32804","5031706","1313505","119045","31925","116535","22816"
"15","291088","26437","5916378","1215841","117314","20967","107257","17912"
