"placedVMs","cpuUsed","cpuTotal","ramUsedMB","ramTotalMB","netUsedMBps","netTotalMBps","diskUsedMB","diskTotalMB"
"10","23212","24470","245122","1517970","5292","18387","-16465","4953"
"7","12035","13798","264674","1358659","3031","18942","-17843","4602"
"9","21841","22998","246961","1220525","4541","25283","-13618","1502"
"12","27140","29845","365907","1259379","7475","21378","-6398","6094"
"9","23910","27016","377874","1460971","5377","14695","-7610","8459"
"10","20326","21997","394573","1215466","5833","30753","-10419","8349"
"9","27021","28403","210639","1264640","4344","13647","-12788","1023"
"7","7448","8906","172434","1271437","5055","23649","-13590","4432"
"7","16462","17507","204320","1425328","4286","15877","-17836","7630"
"8","16761","19871","196707","580575","4820","19860","-10664","4316"
"8","13026","15307","256700","1388331","5188","11926","-11192","5035"
"11","27401","29203","416501","951184","6480","22431","-10312","5895"
"9","15288","16752","297197","1236613","5199","25215","-17115","6638"
"13","32478","34442","440798","1345418","6613","30978","-15508","1513"
"9","22416","24868","388540","1199087","5905","20942","-11167","6684"
"9","18711","21489","254217","1061733","4175","26636","-9836","7839"
"9","12675","13186","296405","1403982","4584","31659","-4792","3296"
"7","16978","18755","318186","1107964","3355","15936","-11724","1093"
"8","12827","14112","265597","1464344","4715","15284","-13597","1504"
"7","17267","19352","189633","887974","3227","22957","-12542","1976"
"10","24904","26757","367786","1274632","5910","23472","-13894","7688"
"8","16584","18481","191864","1212947","4563","18075","-11015","7813"
"7","20410","22853","140436","1709433","3384","25081","-16779","2126"
"6","15627","17029","218881","904275","4453","14638","-11866","2729"
"7","20575","23323","292285","1227271","3608","16624","-16223","4573"
"8","20775","22489","132949","687057","5106","24893","-10363","8913"
"4","9759","11073","154784","1406548","1727","25520","-14755","8019"
"7","13565","15263","233364","1641206","2712","25500","-8980","9251"
"9","20964","21580","312326","840569","4674","25941","-15940","8096"
"13","26907","28455","394007","1157164","6682","10948","-10484","5899"
"10","21711","23871","309469","1170703","4658","30144","-19130","6767"
"6","16497","21168","92932","1439237","3181","24233","-7029","4596"
"11","21817","23474","313373","652627","6607","24040","-6659","6259"
"8","13995","17486","270989","799520","4411","18057","-10090","4739"
"7","15995","17883","150696","1274699","2698","27908","-10789","2384"
"8","16097","20106","242124","1601459","4607","29974","-8417","5568"
"9","18022","20165","367761","1239432","3543","23013","-10700","6699"
"11","16064","17772","368612","1063983","5575","20719","-8161","4966"
"11","22857","24247","373465","1067078","3031","16001","-18709","3163"
"8","17088","18584","282277","1473292","4491","30118","-17529","5709"
