"placedVMs","cpuUsed","cpuTotal","ramUsedMB","ramTotalMB","netUsedMBps","netTotalMBps","diskUsedMB","diskTotalMB"
"9","20884","24470","250542","1517970","4364","18387","-17035","4953"
"7","12035","13798","264674","1358659","3031","18942","-17843","4602"
"9","20901","22998","256611","1220525","4680","25283","-14043","1502"
"12","26913","29845","329543","1259379","7239","21378","-6243","6094"
"10","25211","27016","393059","1460971","5742","14695","-7363","8459"
"10","20388","21997","392162","1215466","6198","30753","-10267","8349"
"8","23008","28403","218759","1264640","3661","13647","-12823","1023"
"7","6575","8906","178845","1271437","4562","23649","-13451","4432"
"6","16578","17507","163438","1425328","2970","15877","-17869","7630"
"7","13269","19871","152470","580575","3990","19860","-11535","4316"
"7","11510","15307","201368","1388331","4599","11926","-11909","5035"
"10","23684","29203","376439","951184","5882","22431","-10572","5895"
"11","13532","16752","299240","1236613","5966","25215","-15749","6638"
"10","27853","34442","316722","1345418","5375","30978","-17875","1513"
"10","21330","24868","441407","1199087","6619","20942","-10447","6684"
"9","18752","21489","277239","1061733","4941","26636","-10344","7839"
"8","10276","13186","290070","1403982","4423","31659","-5748","3296"
"7","14239","18755","290549","1107964","2345","15936","-10724","1093"
"9","11677","14112","313241","1464344","4609","15284","-13547","1504"
"7","17660","19352","232695","887974","2406","22957","-12765","1976"
"9","23902","26757","342694","1274632","5239","23472","-14181","7688"
"10","16166","18481","231440","1212947","6398","18075","-10011","7813"
"8","20028","22853","157919","1709433","3331","25081","-16209","2126"
"9","14603","17029","409639","904275","5715","14638","-9486","2729"
"10","22035","23323","404443","1227271","5548","16624","-14601","4573"
"9","20054","22489","202251","687057","5827","24893","-9810","8913"
"4","9759","11073","154784","1406548","1727","25520","-14755","8019"
"6","12401","15263","200373","1641206","2187","25500","-9970","9251"
"10","18904","21580","300771","840569","4759","25941","-14605","8096"
"13","26501","28455","431247","1157164","5843","10948","-10731","5899"
"10","21965","23871","232543","1170703","4285","30144","-18996","6767"
"9","18385","21168","223481","1439237","4928","24233","-6531","4596"
"10","18619","23474","211236","652627","7185","24040","-7512","6259"
"9","13470","17486","280128","799520","5003","18057","-8744","4739"
"9","16963","17883","198245","1274699","4167","27908","-10287","2384"
"6","13671","20106","169023","1601459","3562","29974","-9506","5568"
"9","18275","20165","375187","1239432","3924","23013","-11042","6699"
"12","16896","17772","398741","1063983","6291","20719","-7408","4966"
"10","22253","24247","315490","1067078","2931","16001","-19655","3163"
"9","14976","18584","286659","1473292","5143","30118","-16764","5709"
"10","15465","19480","342555","956322","5997","17887","-16269","8234"
"5","12387","14217","152732","637209","3384","26844","-14162","1194"
"12","23661","27066","466983","1085090","6334","20444","-12017","9558"
"10","20009","23173","381481","921190","5277","25420","-8734","4961"
"5","10703","13893","188631","1302449","3349","16851","-16505","1703"
"9","16104","19123","284586","1284885","5653","17717","-15180","1546"
"12","23678","25403","300384","1590647","6797","14428","-18004","6599"
"9","16912","18423","311953","802364","4171","22352","-10699","4484"
"9","22061","24022","189201","1092228","4929","23239","-9598","4596"
"11","18776","24874","369163","932917","5378","15245","-10256","4487"
"11","22928","26777","310178","1113290","6021","22455","-3833","1354"
"9","22921","24816","280930","1425481","6002","17727","-13485","7132"
"9","13754","19632","310548","937814","5291","23274","-10367","7953"
"8","16513","18629","264240","867658","4586","15467","-7937","1570"
"8","23087","26176","303873","1272147","3502","32210","-3427","1913"
"8","15914","20718","297933","794378","3413","20595","-12438","1094"
"12","21724","24169","466638","1018551","9915","33611","-11431","2064"
"11","17055","23053","335806","1071117","5159","13319","-18900","1592"
"7","11946","15601","214720","852895","3882","29218","-9378","5412"
"12","23995","25361","350766","698779","6590","21386","-18440","3192"
"9","14420","15790","304829","649439","4572","28596","-14974","4451"
"12","24758","28030","380070","1163159","6653","19681","-8457","8662"
"6","12490","15107","265209","1091726","3969","19261","-13563","8592"
"11","24968","27821","270909","1388006","5842","25345","-11231","4338"
"12","26754","29931","447105","1440594","5971","26336","-15371","4622"
"7","18096","20429","316302","1126725","5149","25677","-8203","3671"
"10","22893","26368","307996","1110293","4752","20564","-12131","9394"
"10","20795","23036","339746","955671","3623","24211","-13009","1651"
"9","21264","22365","266610","1055707","5186","18504","-6006","1132"
"10","18156","21857","364390","1368045","5551","22243","-5296","5690"
"12","23332","25752","358486","1421688","6390","25740","-10746","4089"
"13","26180","28822","455594","1227417","6847","23173","-7227","4745"
"12","29540","32804","376027","1313505","8255","31925","-5589","9411"
"9","19480","26437","287660","1215841","5466","20967","-11150","1753"
"8","14047","14925","202780","1171389","4092","23504","-14202","2444"
"9","16795","20906","358833","887602","3930","24088","-12112","2655"
"6","12886","18992","160810","1512214","2630","24920","-10883","8882"
"11","21242","27607","347448","787543","4954","13192","-11465","1575"
"12","29033","29966","392394","1209237","7084","17157","-12244","2419"
"9","18535","19983","312393","1381032","3789","27967","-12383","3950"
"13","25588","27331","422629","1169017","7401","32426","-6249","4873"
"10","22954","25932","327771","846501","6301","11377","-13408","5662"
"10","16547","18969","385473","896378","6673","21829","-14104","9906"
"11","22494","24783","402366","1397651","6113","20718","-19651","1478"
"9","21100","25006","404038","974522","4554","19859","-9356","2804"
"8","13162","17922","225835","650192","3908","19730","-16791","8340"
"8","19433","20222","167859","1191240","3769","22494","-6768","8990"
"7","14714","16155","205453","1444270","4445","23168","-12928","1301"
"5","12852","14642","150321","1514217","1971","21786","-16644","7159"
"11","23913","28884","375440","957433","6863","24109","-10878","4190"
"10","18253","19827","262112","1022479","6907","27737","-14233","4266"
"11","20955","23167","380009","1031264","5211","25342","-2412","3260"
"8","14936","17473","250763","1548924","3813","16300","-20390","4748"
"7","17068","18764","190334","994588","3567","28183","-14866","2403"
"11","24527","28905","283383","836958","7004","21311","-8587","4675"
"11","25136","26215","359596","1466299","4723","21008","-8075","9727"
"12","17838","24016","454289","1230275","6828","30225","-11217","8757"
"9","18378","21038","210643","1028791","4027","18866","-13180","8529"
"12","26104","29262","440070","778694","6256","27433","-10690","7376"
"10","18060","21161","471839","1263020","5675","25488","-11956","3995"
