"placedVMs","cpuUsed","cpuTotal","ramUsedMB","ramTotalMB","netUsedMBps","netTotalMBps","diskUsedMB","diskTotalMB"
"9","23433","24470","235683","1517970","4692","18387","-16796","4953"
"7","12369","13798","268850","1358659","3117","18942","-17939","4602"
"9","21673","22998","226576","1220525","4585","25283","-13567","1502"
"13","28652","29845","384476","1259379","8003","21378","-5552","6094"
"8","24287","27016","288415","1460971","4826","14695","-7588","8459"
"9","20598","21997","360321","1215466","5611","30753","-10761","8349"
"7","19510","28403","217015","1264640","3270","13647","-13715","1023"
"6","7993","8906","209794","1271437","4151","23649","-13841","4432"
"7","16474","17507","122064","1425328","4551","15877","-17596","7630"
"9","16749","19871","186845","580575","4747","19860","-9588","4316"
"7","14301","15307","184582","1388331","5568","11926","-12030","5035"
"10","27572","29203","396755","951184","6077","22431","-10584","5895"
"10","15913","16752","308614","1236613","5944","25215","-16540","6638"
"10","30628","34442","394941","1345418","4765","30978","-17532","1513"
"9","21962","24868","419003","1199087","5799","20942","-11230","6684"
"8","18170","21489","270951","1061733","4665","26636","-11223","7839"
"8","11972","13186","234385","1403982","3980","31659","-4997","3296"
"7","16978","18755","318186","1107964","3355","15936","-11724","1093"
"8","12827","14112","265597","1464344","4715","15284","-13597","1504"
"6","17057","19352","239559","887974","1751","22957","-13652","1976"
"10","26260","26757","349437","1274632","5536","23472","-13883","7688"
"9","17809","18481","201380","1212947","5423","18075","-10685","7813"
"8","20569","22853","148004","1709433","3614","25081","-15811","2126"
"6","15627","17029","218881","904275","4453","14638","-11866","2729"
"7","20575","23323","292285","1227271","3608","16624","-16223","4573"
"8","20775","22489","132949","687057","5106","24893","-10363","8913"
"4","9910","11073","120292","1406548","1827","25520","-14514","8019"
"7","13565","15263","233364","1641206","2712","25500","-8980","9251"
"9","20108","21580","254835","840569","4359","25941","-15939","8096"
"10","23658","28455","270420","1157164","5507","10948","-12888","5899"
"8","21496","23871","230143","1170703","3674","30144","-20259","6767"
"8","19335","21168","230606","1439237","3490","24233","-6360","4596"
"10","21591","23474","224339","652627","7037","24040","-7442","6259"
"9","15556","17486","215246","799520","5076","18057","-8441","4739"
"7","15995","17883","150696","1274699","2698","27908","-10789","2384"
"8","16951","20106","218848","1601459","3627","29974","-9070","5568"
"9","18022","20165","367761","1239432","3543","23013","-10700","6699"
"10","14952","17772","315188","1063983","5119","20719","-8613","4966"
"10","22692","24247","319433","1067078","2660","16001","-20446","3163"
"7","17288","18584","296618","1473292","3362","30118","-18314","5709"
"10","17846","19480","291773","956322","6061","17887","-16425","8234"
"5","12387","14217","152732","637209","3384","26844","-14162","1194"
"11","26306","27066","363063","1085090","6432","20444","-12452","9558"
"10","21753","23173","326851","921190","4729","25420","-8524","4961"
"4","10609","13893","179026","1302449","2662","16851","-16911","1703"
"8","18319","19123","289313","1284885","4433","17717","-15398","1546"
"11","22982","25403","290236","1590647","6128","14428","-18543","6599"
"8","16836","18423","279710","802364","4248","22352","-10456","4484"
"9","22319","24022","185097","1092228","4416","23239","-9291","4596"
"12","21911","24874","370391","932917","5275","15245","-9293","4487"
"10","25284","26777","306706","1113290","5396","22455","-4730","1354"
