"placedVMs","cpuUsed","cpuTotal","ramUsedMB","ramTotalMB","netUsedMBps","netTotalMBps","diskUsedMB","diskTotalMB"
"10","22341","24470","290254","1517970","4927","18387","-16288","4953"
"7","12035","13798","264674","1358659","3031","18942","-17843","4602"
"9","21428","22998","195440","1220525","5009","25283","-13632","1502"
"12","26653","29845","334657","1259379","8127","21378","-6312","6094"
"8","24392","27016","306481","1460971","3899","14695","-7738","8459"
"9","19255","21997","349614","1215466","5460","30753","-11239","8349"
"7","22255","28403","103590","1264640","3411","13647","-14542","1023"
"6","7993","8906","209794","1271437","4151","23649","-13841","4432"
"10","15971","17507","248179","1425328","5494","15877","-16225","7630"
"8","16085","19871","148231","580575","3976","19860","-10387","4316"
"7","13987","15307","188974","1388331","5359","11926","-11930","5035"
"9","26174","29203","372674","951184","5677","22431","-11282","5895"
"9","16312","16752","303148","1236613","4445","25215","-17073","6638"
"12","30614","34442","410050","1345418","6053","30978","-17556","1513"
"10","23759","24868","451157","1199087","6560","20942","-10573","6684"
"9","18752","21489","277239","1061733","4941","26636","-10344","7839"
"8","11972","13186","234385","1403982","3980","31659","-4997","3296"
"7","17143","18755","290107","1107964","3221","15936","-10812","1093"
"9","11677","14112","313241","1464344","4609","15284","-13547","1504"
"7","17479","19352","174087","887974","3298","22957","-12598","1976"
"10","25671","26757","360314","1274632","5738","23472","-13819","7688"
"8","16028","18481","168465","1212947","4658","18075","-11263","7813"
"8","21634","22853","162567","1709433","3538","25081","-16245","2126"
"6","15627","17029","218881","904275","4453","14638","-11866","2729"
"9","20174","23323","323331","1227271","4030","16624","-14928","4573"
"9","20054","22489","202251","687057","5827","24893","-9810","8913"
"4","9759","11073","154784","1406548","1727","25520","-14755","8019"
"7","13565","15263","233364","1641206","2712","25500","-8980","9251"
"9","20108","21580","254835","840569","4359","25941","-15939","8096"
"11","25824","28455","319041","1157164","5658","10948","-12358","5899"
"9","21797","23871","240100","1170703","3720","30144","-20062","6767"
"8","19077","21168","196043","1439237","4200","24233","-6818","4596"
"10","18275","23474","256952","652627","6411","24040","-7314","6259"
"10","14478","17486","334502","799520","5973","18057","-7773","4739"
"7","15995","17883","150696","1274699","2698","27908","-10789","2384"
"9","19660","20106","245043","1601459","5112","29974","-7264","5568"
"9","18022","20165","367761","1239432","3543","23013","-10700","6699"
"12","17256","17772","416471","1063983","5785","20719","-7593","4966"
"11","23296","24247","377408","1067078","2760","16001","-19500","3163"
"9","17496","18584","295805","1473292","4370","30118","-17629","5709"
