"placedVMs","numVMs","allocRate","cpuUtilRate","ramUtilRate","netUtilRate","diskUtilRate","migrations","migrationRate"
"3","3","100.0","13.303337721675831","3.6562371999025345","11.550330370664597","5.399060994386673","0","0.0"
"6","6","100.0","20.25230387981104","8.944914489984512","20.889052748680115","13.996478915214539","0","0.0"
"9","9","100.0","25.23802885980536","16.627156734466553","31.682586669921875","20.271629095077515","0","0.0"
"12","12","100.0","31.782441467255225","19.904738664627075","43.166789412498474","25.335344672203064","1","8.333333333333332"
"15","15","100.0","36.80843594310643","21.60358726978302","54.408520460128784","36.60295009613037","1","6.666666666666667"
"18","18","100.0","46.13371537726839","26.029345393180847","65.31227231025696","42.14453399181366","5","27.77777777777778"
"21","21","100.0","57.749554712305425","32.29968845844269","79.54445481300354","50.33953785896301","11","52.38095238095239"
"24","24","100.0","67.93350370427734","34.717461466789246","92.38060116767883","60.2448046207428","13","54.166666666666664"
"3","3","100.0","3.616076116719273","7.147425413131714","5.233447998762131","9.340424090623856","0","0.0"
"6","6","100.0","12.874412274132816","15.874110162258148","10.734787583351135","17.647777497768402","0","0.0"
"9","9","100.0","19.064169369605683","21.668677031993866","16.561423242092133","31.3649982213974","0","0.0"
"12","12","100.0","23.45148306629534","34.27846431732178","21.21444046497345","37.691789865493774","0","0.0"
"15","15","100.0","31.27047840300901","46.59982919692993","28.460264205932617","49.006661772727966","2","13.333333333333334"
"18","18","100.0","39.84626609209819","57.24167227745056","32.124632596969604","61.214011907577515","0","0.0"
"21","21","100.0","50.71159942604295","65.03888964653015","36.77446246147156","74.83953833580017","12","57.14285714285714"
"24","24","100.0","55.61930817907129","74.6173083782196","43.02525818347931","82.17495083808899","16","66.66666666666666"
"3","3","100.0","5.5939575350219135","4.619030654430389","9.320662915706635","5.7656180113554","0","0.0"
"6","6","100.0","10.437634954704116","15.503901243209839","19.239789247512817","12.176793813705444","1","16.666666666666664"
"9","9","100.0","17.575744156556453","20.372912287712097","27.622321248054504","20.23089826107025","0","0.0"
"12","12","100.0","24.05430801016857","26.44544541835785","36.00485324859619","22.615021467208862","0","0.0"
"15","15","100.0","32.33806473397461","31.814244389533997","44.977760314941406","26.659151911735535","4","26.666666666666668"
"18","18","100.0","40.52873413698413","37.125781178474426","49.777597188949585","28.38405668735504","6","33.33333333333333"
"21","21","100.0","49.29033603231209","43.37588846683502","55.810755491256714","35.99070906639099","7","33.33333333333333"
"24","24","100.0","56.69612894208428","45.519089698791504","61.36676073074341","38.747140765190125","9","37.5"
"3","3","100.0","6.149796992405075","10.246667265892029","2.889251708984375","9.222880005836487","0","0.0"
"6","6","100.0","15.757304392141597","15.981926023960114","7.581912726163864","18.481262028217316","0","0.0"
"9","9","100.0","23.44931785173077","27.415192127227783","11.211511492729187","25.483235716819763","1","11.11111111111111"
"12","12","100.0","32.24985740530531","36.449626088142395","17.574699223041534","29.755425453186035","0","0.0"
"15","15","100.0","37.95735771749488","43.90913248062134","21.96742445230484","34.61932837963104","1","6.666666666666667"
"18","18","100.0","48.54215909180398","52.92319655418396","30.973082780838013","41.061145067214966","0","0.0"
"21","21","100.0","58.34153651267939","62.56723403930664","39.03337121009827","47.57396578788757","0","0.0"
"24","24","100.0","70.3573473674263","70.2072024345398","43.17172169685364","51.90138220787048","11","45.83333333333333"
"3","3","100.0","5.731159675104196","9.890837967395782","6.657171994447708","4.3708402663469315","0","0.0"
"6","6","100.0","18.877045730986737","16.028854250907898","12.54747360944748","12.373019754886627","0","0.0"
"9","9","100.0","29.6945887208813","21.760638058185577","19.97881978750229","18.818354606628418","1","11.11111111111111"
"12","12","100.0","38.41639236529449","29.47419285774231","24.38650280237198","25.454404950141907","0","0.0"
"15","15","100.0","47.98219875368217","33.923158049583435","29.122844338417053","32.5925350189209","3","20.0"
"18","18","100.0","57.206507139521875","37.51595318317413","37.21151053905487","38.275015354156494","8","44.44444444444444"
"21","21","100.0","60.991174317321054","48.20226728916168","42.32398569583893","42.427897453308105","11","52.38095238095239"
"24","24","100.0","72.74305215280941","55.38620948791504","50.087642669677734","47.70170748233795","10","41.66666666666667"
"3","3","100.0","4.058086256510939","8.915641158819199","9.21645537018776","10.498141497373581","0","0.0"
"6","6","100.0","9.526671000817617","16.296689212322235","23.61753135919571","22.349442541599274","0","0.0"
"9","9","100.0","15.931630927188852","23.598594963550568","28.90748381614685","38.22304904460907","0","0.0"
"12","12","100.0","26.031843058839982","30.648273229599","41.82807505130768","49.55390393733978","3","25.0"
"15","15","100.0","31.720200337925636","35.1397842168808","49.30657148361206","69.14498209953308","7","46.666666666666664"
"18","18","100.0","38.23105341452528","42.232874035835266","58.68687629699707","83.98513197898865","8","44.44444444444444"
"19","21","90.47619104385376","40.18673110910232","47.99745976924896","59.18427109718323","84.93680357933044","4","19.047619047619047"
"21","24","87.5","45.75654676954663","47.89837896823883","63.35654258728027","88.25278878211975","6","25.0"
"3","3","100.0","9.952076336795026","12.616866827011108","20.062047243118286","8.873283118009567","0","0.0"
"6","6","100.0","14.327683134087426","19.894741475582123","34.85800623893738","15.869440138339996","0","0.0"
"9","9","100.0","18.39016799443442","30.570292472839355","40.919578075408936","24.87080991268158","2","22.22222222222222"
"12","12","100.0","26.43165403494765","42.508482933044434","52.454060316085815","31.919968128204346","6","50.0"
"15","15","100.0","33.988206089192666","49.51319396495819","66.9079601764679","40.051233768463135","7","46.666666666666664"
"17","18","94.44444179534912","36.29695230306824","62.53024935722351","71.10810875892639","42.78521239757538","6","33.33333333333333"
"18","21","85.71428656578064","39.20364940730075","65.43139815330505","78.14016342163086","42.02553033828735","7","33.33333333333333"
"20","24","83.33333134651184","40.26231083911951","68.96860599517822","82.06188678741455","44.07932460308075","5","20.833333333333336"
"3","3","100.0","12.769143066657627","5.275430902838707","3.7262946367263794","9.60380807518959","0","0.0"
"6","6","100.0","22.016378745300717","13.658608496189117","7.30472058057785","20.766250789165497","1","16.666666666666664"
"9","9","100.0","30.612583155658353","22.19284027814865","13.884884119033813","27.383452653884888","2","22.22222222222222"
"12","12","100.0","38.56493863620953","30.685627460479736","18.95308792591095","37.337252497673035","4","33.33333333333333"
"15","15","100.0","48.75155387130555","36.060988903045654","22.424308955669403","47.35172092914581","1","6.666666666666667"
"18","18","100.0","60.25082935918975","39.25365507602692","25.259694457054138","58.010172843933105","5","27.77777777777778"
"21","21","100.0","71.41906433717814","45.48311531543732","32.690104842185974","63.65672945976257","7","33.33333333333333"
"24","24","100.0","78.48975009982446","52.79088616371155","39.89870846271515","70.36725878715515","9","37.5"
"3","3","100.0","4.4501183689482815","7.103344053030014","6.242828443646431","9.691783040761948","0","0.0"
"6","6","100.0","6.748236530560995","17.948754131793976","12.560957670211792","19.661134481430054","1","16.666666666666664"
"9","9","100.0","13.529896984608014","22.316329181194305","17.229633033275604","28.57803702354431","0","0.0"
"12","12","100.0","21.799592299628497","27.870413661003113","22.902323305606842","39.195048809051514","0","0.0"
"15","15","100.0","28.018140074837415","34.82612073421478","28.33835482597351","49.23379421234131","2","13.333333333333334"
"18","18","100.0","37.047291276981554","42.79795289039612","34.89672839641571","54.8256516456604","5","27.77777777777778"
"21","21","100.0","43.18151960885073","50.48834681510925","40.33993184566498","62.96767592430115","8","38.095238095238095"
"24","24","100.0","49.80079699077446","56.905680894851685","45.18789350986481","76.48759484291077","7","29.166666666666668"
"3","3","100.0","4.931804527769302","5.099092423915863","9.214960783720016","8.3590567111969","0","0.0"
"6","6","100.0","13.73338323924321","15.591402351856232","21.076183021068573","16.409432888031006","1","16.666666666666664"
"9","9","100.0","20.99516993439121","21.281659603118896","34.07546579837799","27.077415585517883","3","33.33333333333333"
"12","12","100.0","26.62871671879768","33.297839760780334","45.85934579372406","31.431862711906433","5","41.66666666666667"
"15","15","100.0","35.90209700183094","46.07170522212982","55.38920760154724","37.33382821083069","2","13.333333333333334"
"18","18","100.0","45.838717290967345","55.71966767311096","60.45522093772888","44.680413603782654","8","44.44444444444444"
"21","21","100.0","56.75750257476351","64.22317028045654","68.44373345375061","50.97748637199402","11","52.38095238095239"
"23","24","95.83333134651184","62.62849977113213","68.71774792671204","75.13397336006165","57.8548789024353","10","41.66666666666667"
"3","3","100.0","5.451071983265026","4.40203994512558","7.018686085939407","11.007629334926605","0","0.0"
"6","6","100.0","10.982165337894283","9.233488887548447","9.932287037372589","19.894976913928986","0","0.0"
"9","9","100.0","17.312542864983335","14.873656630516052","14.691711962223053","28.11354398727417","0","0.0"
"12","12","100.0","23.276640751327932","22.286084294319153","22.79445230960846","36.08441352844238","0","0.0"
"15","15","100.0","28.085076458803744","26.451465487480164","28.683507442474365","42.56910681724548","0","0.0"
"18","18","100.0","34.88677178026131","33.61568748950958","35.13900637626648","47.43386507034302","0","0.0"
"21","21","100.0","38.43672997111552","40.123048424720764","40.9694641828537","50.86198449134827","0","0.0"
"24","24","100.0","43.4658306723533","45.84380090236664","47.10918664932251","60.19023060798645","6","25.0"
"3","3","100.0","5.433728851023708","6.646224111318588","11.737299710512161","6.755480915307999","0","0.0"
"6","6","100.0","13.502005409515355","12.562136352062225","22.93572872877121","16.406168043613434","0","0.0"
"9","9","100.0","23.027494242415628","17.64151155948639","31.81588649749756","23.88545125722885","0","0.0"
