"placedVMs","numVMs","allocRate","cpuUtilRate","ramUtilRate","netUtilRate","diskUtilRate","migrations","migrationRate"
"3","3","100.0","10.707882946717454","10.466216153129594","7.8570764798810515","15.96286858390972","0","0.0"
"6","6","100.0","21.22639710181735","19.51395387754545","17.674937273487597","34.52857662904987","0","0.0"
"9","9","100.0","31.997773154342322","28.321232575159605","24.342533221819533","54.723334546778304","0","0.0"
"12","12","100.0","37.66497947217191","33.59129291256355","31.51194126939875","73.85329450309428","0","0.0"
"15","15","100.0","45.04659621426582","39.788571301344426","41.111420871666205","88.7331634510375","0","0.0"
"18","18","100.0","53.790828119092794","44.23699147548331","47.23538704581359","94.95813614852567","0","0.0"
"19","21","90.47619047619048","51.09176757564009","43.89519204043274","45.73924356472447","91.61812886785584","0","0.0"
"21","24","87.5","58.07127740886325","49.44636248264608","52.81107703745005","91.13578449217327","0","0.0"
"21","27","77.77777777777779","58.62354672006204","47.79733642070849","52.281386488244586","79.632326174008","0","0.0"
"20","30","66.66666666666666","59.11816525686221","48.06760144993633","51.779574388997304","68.16527120495086","0","0.0"
"21","33","63.63636363636363","56.44841293791533","47.89379295386102","49.26122107610817","69.53039679650527","0","0.0"
"21","36","58.333333333333336","55.253632022928976","46.86322348684263","51.012917015147295","68.43829632326174","0","0.0"
"21","39","53.84615384615385","55.253632022928976","46.86322348684263","51.012917015147295","68.43829632326174","0","0.0"
"21","42","50.0","55.76693636349152","44.43263376610691","46.5291329802063","73.44375682562796","0","0.0"
"22","45","48.888888888888886","58.390529435934965","44.79928350679469","52.550878171173686","74.381143065162","0","0.0"
"22","48","45.83333333333333","57.49182435730733","45.92422667788043","51.75634234736549","73.99890789952676","0","0.0"
"22","51","43.13725490196079","57.47328340473692","47.0258277988734","51.705231855775494","75.40953767746633","0","0.0"
"24","54","44.44444444444444","63.13778583364999","51.473027004238205","56.56537496515194","79.14088096104842","0","0.0"
"23","57","40.35087719298245","59.885442020654814","50.796251194933404","56.38881144875012","69.24827084091737","0","0.0"
"24","60","40.0","63.44974701739324","53.46141056367819","56.026391599293746","77.04768838733163","0","0.0"
"24","63","38.095238095238095","65.15691488205975","51.966729319123175","54.51630889322554","75.83727702948671","0","0.0"
"25","66","37.878787878787875","63.39711775098246","53.707112574039186","58.005761546324685","81.5435020021842","0","0.0"
"25","69","36.231884057971016","63.39711775098246","53.707112574039186","58.005761546324685","81.5435020021842","0","0.0"
"24","72","33.33333333333333","60.90432530487555","53.19660398308743","58.600501812099246","71.48707681106661","0","0.0"
"24","75","32.0","60.90432530487555","53.19660398308743","58.600501812099246","71.48707681106661","0","0.0"
"23","78","29.48717948717949","58.703070024446056","49.56142083418023","51.56583960598458","74.87258827812158","0","0.0"
"22","81","27.160493827160494","58.34393563585569","43.15851693950531","50.56686181581638","67.92864943574808","0","0.0"
"23","84","27.380952380952383","58.50679665934524","49.15203718639955","52.94117647058824","69.40298507462687","0","0.0"
"22","87","25.287356321839084","58.52089550869566","46.332173891809234","50.023232041631815","67.91954859847105","0","0.0"
"22","90","24.444444444444443","58.52089550869566","46.332173891809234","50.023232041631815","67.91954859847105","0","0.0"
"22","93","23.655913978494624","58.52089550869566","46.332173891809234","50.023232041631815","67.91954859847105","0","0.0"
"23","96","23.958333333333336","57.48912046839082","48.250315835893176","53.09450794535824","69.53039679650527","0","0.0"
"23","99","23.232323232323232","57.48912046839082","48.250315835893176","53.09450794535824","69.53039679650527","0","0.0"
"3","3","100.0","12.593495005701","12.730665446860353","8.171992481203008","10.969477254122324","0","0.0"
"6","6","100.0","23.986852852869596","23.165397379029155","13.829887218045112","22.02471445834795","0","0.0"
"9","9","100.0","35.56908245959817","35.851199757211624","19.50187969924812","29.158383035122597","0","0.0"
"12","12","100.0","48.5301456054908","48.228128704227025","27.091165413533837","32.98639535336997","0","0.0"
"15","15","100.0","61.111374400976835","54.03503717696941","38.660714285714285","37.97606517756208","0","0.0"
"15","18","83.33333333333334","57.121859222935576","52.79921357679612","42.579887218045116","35.89833547733209","0","0.0"
"17","21","80.95238095238095","62.6514807267172","53.65557038773567","47.044172932330824","42.93844774490313","0","0.0"
"18","24","75.0","57.822496787089264","60.84003896929298","50.192669172932334","41.5117140295482","0","0.0"
"20","27","74.07407407407408","63.21419312032873","65.12380227702064","54.76033834586465","48.325731883210544","0","0.0"
"20","30","66.66666666666666","63.58629139497476","61.85869452868488","52.27913533834586","45.211086422640626","0","0.0"
"21","33","63.63636363636363","71.29274704565539","59.18934194235096","55.50281954887218","45.19159552488988","0","0.0"
"19","36","52.77777777777778","59.770454602477216","56.63951424732306","49.295112781954884","39.16111176080771","0","0.0"
"20","39","51.28205128205128","61.91258095001798","57.076599291427414","47.222744360902254","37.22761470393326","0","0.0"
"20","42","47.61904761904761","59.82683735284032","58.24776729262376","45.05639097744361","36.8884730830702","0","0.0"
"20","45","44.44444444444444","59.82683735284032","58.24776729262376","45.05639097744361","36.8884730830702","0","0.0"
"20","48","41.66666666666667","55.74504682068194","64.25930853695814","42.025375939849624","41.06342338128094","0","0.0"
"22","51","43.13725490196079","63.940129743050775","58.607551510060105","52.43890977443609","46.34935485128445","0","0.0"
"22","54","40.74074074074074","65.36531004240206","57.285410486082554","51.983082706766915","46.4078275445367","0","0.0"
"22","57","38.59649122807017","67.33452464253754","58.24380878656395","47.09586466165413","42.802011460647876","0","0.0"
"23","60","38.333333333333336","68.68178662927332","65.40914458883218","47.11936090225564","46.98865629750906","0","0.0"
"23","63","36.507936507936506","69.4700997187135","65.58782715403207","46.62593984962406","46.68070011304721","0","0.0"
"23","66","34.84848484848485","69.66893777407314","68.88196394680648","46.983082706766915","46.01800958952169","0","0.0"
"23","69","33.33333333333333","69.66893777407314","68.88196394680648","46.983082706766915","46.01800958952169","0","0.0"
"23","72","31.944444444444443","71.5363985849254","57.49114284269117","51.60714285714286","49.34705492534986","0","0.0"
"23","75","30.666666666666664","74.83510310586018","55.89025701700179","47.528195488721806","46.166140412427396","0","0.0"
"22","78","28.205128205128204","67.07561003487507","55.29373214548829","41.68233082706767","43.8935017346899","0","0.0"
