"placedVMs","numVMs","allocRate","cpuUtilRate","ramUtilRate","netUtilRate","diskUtilRate","migrations","migrationRate"
"3","3","100.0","10.707882946717454","10.466216153129594","7.8570764798810515","15.96286858390972","0","0.0"
"6","6","100.0","21.22639710181735","19.51395387754545","17.674937273487597","34.52857662904987","0","0.0"
"9","9","100.0","31.997773154342322","28.321232575159605","24.342533221819533","54.723334546778304","0","0.0"
"12","12","100.0","37.66497947217191","33.59129291256355","31.51194126939875","73.85329450309428","0","0.0"
"15","15","100.0","45.04659621426582","39.788571301344426","41.111420871666205","88.7331634510375","0","0.0"
"16","18","88.88888888888889","45.321668627790864","36.69363092412254","41.02313911346529","79.70513287222425","0","0.0"
"19","21","90.47619047619048","51.09176757564009","43.89519204043274","45.73924356472447","91.61812886785584","0","0.0"
"20","24","83.33333333333334","50.41144981075192","43.55439810907848","48.8988012266518","86.2668365489625","0","0.0"
"22","27","81.48148148148148","56.47043031909269","48.589529690010394","53.61025926958462","91.89115398616673","0","0.0"
"23","30","76.66666666666667","62.84127544371542","51.653514917724664","54.799739801133725","89.4430287586458","0","0.0"
"25","33","75.75757575757575","65.09583596278483","58.7548129511749","56.61183904841558","95.37677466326903","0","0.0"
"25","36","69.44444444444444","61.440467850036526","59.006045231865556","59.11160672799925","86.31234073534765","0","0.0"
"24","39","61.53846153846154","55.76640524245434","57.104853207233596","57.66192733017378","82.69930833636695","0","0.0"
"24","42","57.14285714285714","55.76640524245434","57.104853207233596","57.66192733017378","82.69930833636695","0","0.0"
"26","45","57.77777777777777","62.23574917760736","61.01583165569829","62.308335656537494","91.53622133236257","0","0.0"
"26","48","54.166666666666664","61.78700018492669","63.27570121314021","64.97537403587027","84.34655988350929","0","0.0"
"27","51","52.94117647058824","65.73091187205198","66.22333529885366","70.15611931976582","85.17473607571897","0","0.0"
"27","54","50.0","65.75239813219216","66.29515699144676","67.09878264101849","85.20203858755005","0","0.0"
"28","57","49.122807017543856","67.52407306100987","69.35037997266467","74.33788681349317","84.77429923552967","0","0.0"
"29","60","48.333333333333336","67.63478765539516","71.94565683451636","74.9093950376359","91.69093556607207","0","0.0"
"28","63","44.44444444444444","64.58398013414185","68.92016803403199","71.42458879286312","87.3771386967601","0","0.0"
"26","66","39.39393939393939","58.42056191640058","63.28058508823654","63.98104265402843","80.29668729523117","0","0.0"
"26","69","37.68115942028986","58.42056191640058","63.28058508823654","63.98104265402843","80.29668729523117","0","0.0"
"27","72","37.5","59.572225459914605","64.71378696393187","61.34652913298021","87.43174372042229","0","0.0"
"29","75","38.666666666666664","63.71154140498897","66.66044211997526","70.56035684415947","91.71823807790317","0","0.0"
"29","78","37.17948717948718","64.0561906743837","67.67995104633432","74.53768237152681","85.9574080815435","0","0.0"
"29","81","35.80246913580247","63.726074807915246","70.3586128932866","69.00381005482762","87.51365125591555","0","0.0"
"29","84","34.523809523809526","63.60715197931911","73.0175237747758","68.27432394758851","86.75828176192209","0","0.0"
"29","87","33.33333333333333","64.21953453517976","65.19585416461675","66.31818604218938","93.28358208955224","0","0.0"
"30","90","33.33333333333333","65.72106199099895","65.40456800329231","72.3863953164204","96.13214415726247","0","0.0"
"29","93","31.182795698924732","59.06341150630272","68.33094286799819","73.2970913483877","87.29523116126684","0","0.0"
"28","96","29.166666666666668","57.41964017998244","61.05181432368744","71.38741752625221","84.81980342191481","0","0.0"
"27","99","27.27272727272727","58.26788876007862","52.457630587997016","67.57736269863396","83.09064433927922","0","0.0"
"3","3","100.0","12.593495005701","12.730665446860353","8.171992481203008","10.969477254122324","0","0.0"
"6","6","100.0","23.986852852869596","23.165397379029155","13.829887218045112","22.02471445834795","0","0.0"
"9","9","100.0","35.56908245959817","35.851199757211624","19.50187969924812","29.158383035122597","0","0.0"
"12","12","100.0","48.5301456054908","48.228128704227025","27.091165413533837","32.98639535336997","0","0.0"
"15","15","100.0","61.111374400976835","54.03503717696941","38.660714285714285","37.97606517756208","0","0.0"
"17","18","94.44444444444444","70.7904596762278","63.00182311195754","43.20018796992481","41.8001793162593","0","0.0"
"19","21","90.47619047619048","72.67276538921521","67.9098208336174","49.318609022556394","45.464468093400384","0","0.0"
"21","24","87.5","74.25733672698482","72.41668994121618","55.94924812030075","52.62152574747593","0","0.0"
"22","27","81.48148148148148","70.66905207285014","80.64884312660402","59.962406015037594","56.153276419911904","0","0.0"
"22","30","73.33333333333333","69.0678237791636","77.29576857693907","59.671052631578945","52.625423927026084","0","0.0"
"23","33","69.6969696969697","70.95737770727804","75.49552798773743","57.42011278195489","47.13288894086462","0","0.0"
"25","36","69.44444444444444","72.2097856479765","89.18316227455759","57.60338345864662","51.25326472537325","0","0.0"
"25","39","64.1025641025641","76.02729510550334","81.36841156147669","54.13063909774436","49.70178926441352","0","0.0"
"26","42","61.904761904761905","79.48002419788742","85.34967903113365","54.652255639097746","50.69972322925194","0","0.0"
"26","45","57.77777777777777","80.13222417056723","84.52916869173573","54.05545112781955","49.117062331891006","0","0.0"
"25","48","52.083333333333336","75.77528024108679","82.04630572421968","49.431390977443606","46.23240946477995","0","0.0"
"25","51","49.01960784313725","75.06202799483704","85.17308567746532","48.01691729323308","45.41768993879858","0","0.0"
"24","54","44.44444444444444","78.61191104767374","79.81667718602999","40.70488721804511","45.86598058706584","0","0.0"
"23","57","40.35087719298245","74.72428904766817","75.05712344161314","38.242481203007515","40.44361283280708","0","0.0"
"23","60","38.333333333333336","78.6629273310678","69.46991205519038","36.97838345864662","43.9246871710911","0","0.0"
"23","63","36.507936507936506","78.6629273310678","69.46991205519038","36.97838345864662","43.9246871710911","0","0.0"
"23","66","34.84848484848485","78.6629273310678","69.46991205519038","36.97838345864662","43.9246871710911","0","0.0"
"23","69","33.33333333333333","78.6629273310678","69.46991205519038","36.97838345864662","43.9246871710911","0","0.0"
"22","72","30.555555555555557","74.03633585998679","69.28738094243234","32.796052631578945","41.52340856819865","0","0.0"
"27","75","36.0","82.09474811058546","77.1758038516264","49.92481203007519","52.45390402681947","0","0.0"
"26","78","33.33333333333333","69.67479210167573","81.55314184426797","46.25","52.95287100923869","0","0.0"
