numVMs,algo,allocRate,cpuUtilRate,ramUtilRate,netUtilRate,diskUtilRate
3,BranchAndBound,97.87,38.1,8.81,7.91,7.87
3,FirstFit,96.33,37.33,8.64,7.79,7.7
3,LeastFull,95.5,36.44,8.55,7.69,7.63
3,LinearRelaxation,96.6,37.09,8.69,7.82,7.75
3,MostFull,97.2,37.93,8.74,7.86,7.79
6,BranchAndBound,92.55,68.06,16.75,14.89,14.74
6,FirstFit,87.87,63.65,15.91,14.13,13.91
6,LeastFull,84.22,58.38,15.24,13.56,13.35
6,LinearRelaxation,87.53,61.41,15.83,14.08,13.96
6,MostFull,89.9,65.85,16.28,14.51,14.29
9,BranchAndBound,83.47,85.53,22.34,19.92,19.97
9,FirstFit,75.56,77.44,20.22,18.05,17.85
9,LeastFull,71.99,70.05,19.21,17.15,17.04
9,LinearRelaxation,75.37,72.71,20.03,17.98,18.08
9,MostFull,77.3,80.58,20.66,18.42,18.37
12,BranchAndBound,71.98,90.23,25.79,23.24,23.09
12,FirstFit,62.05,82.46,22.03,19.93,19.5
12,LeastFull,60.46,75.91,21.44,19.45,18.89
12,LinearRelaxation,64.82,76.58,23.03,20.86,20.63
12,MostFull,62.68,85.3,22.31,20.13,19.78
15,BranchAndBound,64.7,92.16,28.68,25.79,25.69
15,FirstFit,53.82,86.23,23.78,21.42,21.21
15,LeastFull,53.65,80.61,23.59,21.34,21.09
15,LinearRelaxation,58.59,79.22,25.86,23.1,23.3
15,MostFull,53.79,88.1,23.76,21.36,21.36
18,BranchAndBound,58.92,93.17,31.37,27.99,28.14
18,FirstFit,46.63,87.61,24.68,22.22,21.82
18,LeastFull,47.13,82.89,25.12,22.46,22.22
18,LinearRelaxation,53.52,80.86,28.42,25.41,25.5
18,MostFull,46.52,89.35,24.59,22.04,22.0
21,BranchAndBound,54.04,93.39,33.93,30.01,29.83
21,FirstFit,41.2,88.83,25.92,22.85,22.51
21,LeastFull,42.52,84.83,26.69,23.61,23.24
21,LinearRelaxation,49.36,82.11,31.12,27.47,27.34
21,MostFull,40.83,90.46,25.64,22.65,22.4
24,BranchAndBound,49.83,94.11,35.33,31.79,30.92
24,FirstFit,36.57,89.45,25.98,23.14,22.39
24,LeastFull,37.78,85.46,26.78,23.97,23.07
24,LinearRelaxation,45.55,82.86,32.28,29.03,28.34
24,MostFull,36.19,91.2,25.62,22.88,22.2
